symbol,current_price,open_price,current_high,current_low,current_volume,recent_high,recent_low,avg_volume,consolidation_range_pct,breakout_pct,volume_ratio,basic_breakout_score,breakout_score,confidence_score,volume_multiplier,breakout_signal,risk_level,trading_bias
NCC,207.8,207.71,207.8,207.71,356,215.0,206.25,6104.125333333333,4.1623626515464665,-3.35,0.06,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
ABSLAMC,833.1,833.1,833.1,833.1,5,846.8,821.0,418.95195195195197,3.093026236396859,-1.62,0.01,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
BALAMINES,1503.2,1503.2,1503.2,1503.2,6,1555.0,1453.3,84.94760147601475,6.770094510673635,-3.33,0.07,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
CANFINHOME,761.5,761.5,761.5,761.5,0,774.95,715.0,387.5858511422255,8.026387222250337,-1.74,0.0,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
CHOLAFIN,1469.2,1467.5,1469.2,1467.3,3344,1486.7,1412.3,2949.684830633284,5.154772983298233,-1.18,1.13,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
UNITDSPR,1328.4,1328.5,1329.8,1327.8,2603,1364.0,1318.3,1861.2026666666666,3.4330010408678877,-2.51,1.4,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
DLF,766.4,765.85,766.4,765.6,2209,777.3,737.0,4339.000735835173,5.328515512181893,-1.4,0.51,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
FIVESTAR,525.0,525.0,525.0,524.95,3993,555.55,522.0,5738.120588235294,6.236989043919787,-5.5,0.7,0.0,0.0,0.0,1.0,NO_BREAKOUT,HIGH_RISK,SIDEWAYS_BREAKOUT
GMDCLTD,462.8,462.7,462.95,462.3,14850,475.0,401.6,17195.90661764706,16.548559962461383,-2.54,0.86,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
ICICIGI,1867.0,1866.0,1867.5,1866.0,208,1920.0,1805.6,1831.15859030837,6.240014494226705,-2.73,0.11,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
JSWINFRA,302.0,302.0,302.25,301.85,2273,308.85,302.4,2552.0133333333333,2.114063735252372,-2.14,0.89,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
JYOTICNC,889.45,888.55,889.85,888.55,279,915.2,881.8,324.33866666666665,3.7311226419267784,-2.77,0.86,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
KIRLOSBROS,1996.2,1994.2,1998.9,1993.2,181,2059.9,2009.2,99.89866666666667,2.5065751041093884,-2.96,1.81,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
LODHA,1202.6,1203.0,1203.0,1202.6,853,1226.4,1183.5,2966.749333333333,3.569526725687286,-1.91,0.29,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
IFCI,52.62,52.69,52.7,52.62,10814,54.4,51.25,10117.041850220265,5.929195431273196,-3.12,1.07,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
PFC,393.9,393.4,393.9,393.4,4420,397.95,389.25,5576.8026666666665,2.219091876185213,-1.02,0.79,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
JUBLPHARMA,1067.4,1067.4,1067.4,1067.4,0,1067.0,1041.4,361.95733333333334,2.4266457840315496,0.04,0.0,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
LAURUSLABS,886.8,886.55,887.0,886.0,12619,885.0,862.25,2616.250666666667,2.615296044614767,0.23,4.82,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,NEUTRAL
LEMONTREE,172.4,172.44,172.51,172.3,8268,176.5,168.3,36270.81333333333,4.802240608340023,-2.26,0.23,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
METROBRAND,1202.4,1200.0,1202.4,1200.0,299,1242.0,1180.1,972.3333333333334,5.063971292273128,-3.19,0.31,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
MFSL,1591.3,1589.0,1591.3,1589.0,1077,1662.9,1551.2,3508.9866666666667,7.073134735639118,-4.31,0.31,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
MOTHERSON,95.95,95.8,95.95,95.8,31122,98.4,94.12,37276.085333333336,4.464507995919912,-2.49,0.83,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
MRPL,125.67,125.67,125.67,125.67,240,128.9,124.21,3391.1306666666665,3.730061271624821,-2.51,0.07,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
NHPC,78.13,78.11,78.13,78.11,1730,79.99,78.0,18609.146666666667,2.5263690296440773,-2.33,0.09,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
PCBL,378.5,378.0,378.5,378.0,11634,389.5,375.0,1094.5386666666666,3.814016290671883,-2.82,10.63,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
STARHEALTH,447.6,447.2,447.6,447.2,693,494.0,440.3,15751.824,11.792121369695508,-9.39,0.04,0.0,0.0,0.0,1.0,NO_BREAKOUT,HIGH_RISK,SIDEWAYS_BREAKOUT
VTL,410.05,410.45,410.6,410.0,154,425.8,410.0,742.032,3.7896376914486636,-3.57,0.21,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
RCF,160.96,161.09,161.24,160.95,9306,164.49,159.33,10909.053333333333,3.212011162195273,-1.98,0.85,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
SHRIRAMFIN,590.1,589.9,590.4,589.9,7411,596.0,583.9,13346.493333333334,2.060218308223647,-0.94,0.56,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
UNIONBANK,127.43,127.3,127.46,127.3,6901,130.59,126.63,19765.6,3.0883319077094207,-2.4,0.35,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
BALRAMCHIN,553.25,552.2,553.25,552.2,141,584.0,533.95,4429.6523985239855,8.954850317523467,-5.27,0.03,0.0,0.0,0.0,1.0,NO_BREAKOUT,HIGH_RISK,SIDEWAYS_BREAKOUT
NEWGEN,899.7,898.7,899.7,898.65,462,925.9,894.1,1123.9893333333334,3.51968010313769,-2.83,0.41,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
PVRINOX,1154.3,1154.7,1156.0,1154.0,2863,1144.9,1120.0,845.6133333333333,2.205867240692192,0.97,3.39,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
RAILTEL,346.15,346.65,346.65,346.15,825,352.3,341.2,2224.272,3.1996832986140533,-1.6,0.37,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
ROUTE,855.65,855.25,856.2,855.25,34,870.05,849.0,445.5226666666667,2.442546207636611,-1.59,0.08,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
SAIL,128.33,128.31,128.4,128.31,11452,130.21,127.22,20519.232,2.3345620538566108,-1.39,0.56,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
SAPPHIRE,325.65,325.65,326.0,325.6,907,347.9,321.05,5603.525333333333,8.154940425907576,-6.29,0.16,0.0,0.0,0.0,1.0,NO_BREAKOUT,HIGH_RISK,SIDEWAYS_BREAKOUT
SBILIFE,1809.6,1809.6,1810.3,1809.3,2350,1890.0,1773.0,5652.744,6.480789021107654,-4.22,0.42,0.0,0.0,0.0,1.0,NO_BREAKOUT,MEDIUM_RISK,SIDEWAYS_BREAKOUT
TANLA,660.5,661.0,661.5,660.5,876,654.9,639.35,1884.288,2.3978184940322245,1.01,0.46,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
TATACOMM,1551.8,1552.0,1552.9,1551.8,36,1578.1,1548.0,1401.6266666666668,1.9291241084370212,-1.6,0.03,0.0,0.0,0.0,1.0,NO_BREAKOUT,VERY_LOW_RISK,SIDEWAYS_BREAKOUT
AUBANK,694.0,694.1,694.7,694.0,5093,718.8,697.25,17269.58653846154,3.0549376254034653,-3.35,0.29,0.0,0.0,0.0,1.0,NO_BREAKOUT,LOW_RISK,SIDEWAYS_BREAKOUT
