symbol,breakout_price,open_price,current_high,current_low,current_volume,breakout_above_resistance,breakout_pct,volume_ratio,scan_date,breakout_time,eod_price,eod_high,eod_low,eod_volume,price_change_pct,breakout_successful,day_range_pct,performance_rank,overall_success_rate
IIFL,440.75,442.75,444.45,438.2,14411,3.6999999999999886,0.83947816222348,1.0,2025-09-03,09:50:00,436.0,436.85,435.85,112777,-1.08,False,1.95,0.64,28.82
SAMMAANCAP,136.24,137.1,137.1,136.2,149178,0.8599999999999852,0.6312389900176051,0.2874879216067472,2025-09-05,09:50:00,137.62,137.71,137.5,122143,1.01,True,1.11,0.64,28.82
GPIL,243.67,245.63,245.67,243.67,229487,2.0,0.820782205441786,0.9669504713536108,2025-09-01,09:50:00,238.39,238.86,237.95,43425,-2.17,False,3.17,0.62,28.82
RELIANCE,1349.4,1356.0,1357.0,1345.2,359671,7.599999999999909,0.563213279976279,1.0,2025-09-01,09:50:00,1353.5,1353.6,1353.0,63654,0.3,True,0.87,0.62,28.82
EIDPARRY,1145.8,1157.1,1157.1,1145.5,13580,11.299999999999955,0.9862105079420452,0.7654585423595063,2025-09-02,09:50:00,1100.5,1103.7,1100.0,4685,-3.95,False,4.98,0.62,28.82
QUESS,267.65,269.8,269.8,267.65,331305,2.150000000000034,0.8032878759574199,1.0,2025-09-05,09:50:00,264.9,265.0,264.6,4121,-1.03,False,1.94,0.62,28.82
CUB,196.67,197.8,197.8,196.36,14553,1.1300000000000239,0.5745665327706432,1.0,2025-09-01,09:50:00,197.2,197.44,197.2,1771,0.27,True,0.73,0.61,28.82
CHOLAFIN,1447.4,1454.9,1458.5,1445.4,17303,11.099999999999909,0.7668923587121672,1.0,2025-09-02,09:50:00,1432.0,1432.8,1431.9,3012,-1.06,False,1.84,0.61,28.82
NESTLEIND,1197.2,1206.5,1206.5,1195.1,25317,9.299999999999955,0.7768125626461706,1.0,2025-09-03,09:50:00,1194.6,1195.0,1194.1,6331,-0.22,False,1.04,0.61,28.82
GPIL,242.57,243.26,244.29,242.57,253164,1.7199999999999989,0.709073669456239,1.0493735816209158,2025-09-01,09:50:00,238.39,238.86,237.95,43425,-1.72,False,2.61,0.6,28.82
STARHEALTH,479.45,481.6,484.25,478.3,184358,4.800000000000011,1.001147147773493,0.6757941657319227,2025-09-04,09:50:00,444.3,446.35,443.75,31899,-7.33,False,8.45,0.6,28.82
STARHEALTH,446.75,449.6,450.15,446.0,11844,3.3999999999999773,0.7610520425293738,1.0,2025-09-05,09:50:00,439.9,440.1,439.25,5049,-1.53,False,2.44,0.6,28.82
GPIL,242.2,243.43,244.0,242.2,229568,1.8000000000000114,0.7431874483897652,0.9752665788691108,2025-09-01,09:50:00,238.39,238.86,237.95,43425,-1.57,False,2.5,0.59,28.82
GICRE,371.05,373.55,373.7,371.05,12416,2.6499999999999773,0.7141894623366062,1.0,2025-09-02,09:50:00,370.8,370.95,370.6,4906,-0.07,False,0.84,0.59,28.82
BALRAMCHIN,574.65,574.7,578.75,574.0,159745,4.100000000000023,0.7134777690768334,1.0,2025-09-02,09:50:00,566.35,567.45,566.15,26223,-1.44,False,2.19,0.59,28.82
INFY,1491.2,1500.0,1501.9,1489.5,59587,10.700000000000045,0.7175429184549387,1.0,2025-09-03,09:50:00,1478.8,1479.2,1478.5,46384,-0.83,False,1.57,0.59,28.82
APOLLOTYRE,492.25,494.65,495.7,492.25,42678,3.4499999999999886,0.7008633824276259,1.0,2025-09-03,09:50:00,485.45,485.6,485.05,10919,-1.38,False,2.16,0.58,28.82
ASHOKLEY,131.47,131.8,132.38,131.36,673478,0.9099999999999966,0.6921731193428132,1.0,2025-09-03,09:50:00,130.25,130.27,130.14,171262,-0.93,False,1.7,0.58,28.82
CAMPUS,285.15,287.65,288.0,285.15,70518,2.8500000000000227,0.9994739610731276,0.5883795906924587,2025-09-04,09:50:00,276.95,276.95,276.0,5111,-2.88,False,4.21,0.58,28.82
FINPIPE,213.5,214.55,215.29,213.25,24167,1.789999999999992,0.8384074941451953,0.5973281263516937,2025-09-01,09:50:00,213.9,214.12,213.9,22212,0.19,True,0.96,0.57,28.82
360ONE,1032.9,1018.1,1040.0,1013.3,35052,7.099999999999909,0.6873850324329469,1.0,2025-09-01,09:50:00,1030.3,1030.4,1030.0,1589,-0.25,False,2.58,0.57,28.82
BALRAMCHIN,572.8,577.05,577.45,572.25,113722,4.650000000000091,0.8118016759776695,0.8317054708612008,2025-09-02,09:50:00,566.35,567.45,566.15,26223,-1.13,False,1.97,0.57,28.82
GRANULES,512.5,515.8,515.8,510.0,60399,3.2999999999999545,0.6439024390243814,1.0,2025-09-02,09:50:00,507.95,507.95,506.65,8024,-0.89,False,1.79,0.56,28.82
GSPL,304.35,306.1,306.3,304.35,32010,1.9499999999999886,0.640709709216359,1.0,2025-09-03,09:50:00,301.85,302.05,301.8,4460,-0.82,False,1.48,0.56,28.82
DLF,764.1,766.2,769.1,762.15,25175,5.0,0.6543646119617851,1.0,2025-09-05,09:50:00,755.4,756.0,755.15,12879,-1.14,False,1.83,0.56,28.82
NIACL,198.7,200.0,200.0,198.5,31112,1.3000000000000114,0.6542526421741376,1.0,2025-09-05,09:50:00,194.84,194.9,194.7,7969,-1.94,False,2.67,0.56,28.82
VBL,485.5,487.1,488.1,485.0,153183,2.6000000000000227,0.5355303810504681,1.1546979511636206,2025-09-05,09:50:00,469.35,469.4,469.1,60719,-3.33,False,3.91,0.56,28.82
CROMPTON,335.4,337.05,337.5,334.6,27412,2.1000000000000227,0.6261180679785399,1.0,2025-09-02,09:50:00,333.6,334.25,333.35,1505,-0.54,False,1.24,0.55,28.82
FIVESTAR,537.7,539.5,541.0,537.4,28310,3.2999999999999545,0.6137251255346763,1.0,2025-09-03,09:50:00,532.7,532.7,532.4,3415,-0.93,False,1.6,0.55,28.82
NCC,207.57,208.79,208.88,207.5,24277,1.3100000000000023,0.6311123958182793,1.0,2025-09-05,09:50:00,206.28,206.48,206.2,11147,-0.62,False,1.29,0.55,28.82
KALYANKJIL,504.35,505.0,507.45,502.5,55801,3.099999999999966,0.6146525230494628,1.0,2025-09-05,09:50:00,501.55,501.9,501.25,21894,-0.56,False,1.23,0.55,28.82
RBLBANK,275.75,275.5,277.35,275.1,1139837,1.6000000000000227,0.5802357207615677,1.0,2025-09-05,09:50:00,275.9,276.0,275.65,55103,0.05,True,0.82,0.55,28.82
DRREDDY,1275.8,1279.9,1283.4,1273.6,14024,7.600000000000136,0.5957046559021897,1.0,2025-09-02,09:50:00,1255.8,1256.7,1255.5,6973,-1.57,False,2.19,0.54,28.82
ABCAPITAL,280.65,282.0,282.3,280.25,34352,1.650000000000034,0.5879208979155653,1.0,2025-09-02,09:50:00,274.55,274.65,274.35,24353,-2.17,False,2.83,0.54,28.82
BHARTIARTL,1881.1,1891.0,1891.0,1881.0,66619,9.900000000000091,0.5262878103237516,1.0,2025-09-03,09:50:00,1883.1,1884.4,1882.9,17659,0.11,True,0.53,0.54,28.82
VBL,490.0,490.75,492.95,490.0,107267,2.9499999999999886,0.6020408163265283,1.0,2025-09-05,09:50:00,469.35,469.4,469.1,60719,-4.21,False,4.87,0.54,28.82
HFCL,70.19,70.61,70.61,70.19,78460,0.4200000000000017,0.5983758370138221,1.0,2025-09-05,09:50:00,69.72,69.8,69.72,33127,-0.67,False,1.27,0.54,28.82
