symbol,breakout_price,open_price,current_high,current_low,current_volume,breakout_above_resistance,breakout_pct,volume_ratio,probability_score,scan_date,breakout_time,eod_price,eod_high,eod_low,eod_volume,price_change_pct,breakout_successful,day_range_pct,performance_rank,overall_success_rate
EIHOTEL,403.55,408.25,409.5,402.8,74802,5.949999999999989,1.4744145706851663,1.0,60.0,2025-08-14,09:50:00,390.95,391.7,390.1,15627,-3.12,False,4.81,0.49,40.28
FINCABLES,876.3,886.5,886.55,875.1,134582,10.25,1.1696907451785918,1.3465336628413058,60.0,2025-08-22,09:50:00,849.25,849.6,849.05,14369,-3.09,False,4.28,0.49,40.28
DLF,788.65,795.0,798.8,785.4,212876,10.149999999999977,1.2870094465225357,1.0,60.0,2025-08-05,09:50:00,781.55,782.2,781.4,74937,-0.9,False,2.21,0.48,40.28
FIVESTAR,589.65,597.55,597.7,585.35,111128,8.050000000000068,1.3652166539472683,1.0,60.0,2025-08-19,09:50:00,588.05,588.85,588.05,964,-0.27,False,2.09,0.48,40.28
BLS,389.75,380.25,392.85,380.25,718569,3.1000000000000227,0.7953816549069974,1.0,70.0,2025-08-26,09:50:00,372.0,372.35,371.85,127594,-4.55,False,5.39,0.48,40.28
IIFL,459.2,454.0,462.25,454.0,64635,3.0500000000000114,0.6641986062717795,1.0,70.0,2025-08-12,09:50:00,449.7,450.05,449.35,6921,-2.07,False,2.81,0.47,40.28
CLEAN,1151.1,1139.0,1156.9,1126.1,129935,5.800000000000182,0.5038658674311687,1.0,70.0,2025-08-22,09:50:00,1152.1,1152.8,1151.2,4845,0.09,True,2.68,0.47,40.28
GPIL,240.65,240.0,243.46,239.08,229341,2.8100000000000023,1.167670891335966,1.0,60.0,2025-09-01,09:50:00,238.39,238.86,237.95,43425,-0.94,False,2.29,0.47,40.28
CUB,219.52,216.4,220.63,216.0,185835,1.1099999999999852,0.5056486880466404,1.0,70.0,2025-08-01,09:50:00,213.58,213.74,213.5,24632,-2.71,False,3.25,0.46,40.28
GMDCLTD,409.3,412.9,413.85,409.0,52123,4.550000000000011,1.1116540434888862,1.0,60.0,2025-08-06,09:50:00,395.4,396.5,395.35,16713,-3.4,False,4.52,0.46,40.28
CGCL,185.86,187.88,188.0,185.26,83151,2.1399999999999864,1.1514042827934932,1.0,60.0,2025-08-08,09:50:00,182.43,182.5,182.31,17281,-1.85,False,3.06,0.46,40.28
